
Predictions were generated on 05-Dec-2019 at 21:34:24 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Oberhalb_45mps

Time      	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(Nm)      	(Nm)      
    0.0000	 1.136E+03	 1.380E+03	 8.353E+02	-4.454E+02	-2.235E+02	-1.158E+03	 0.000E+00	 2.737E+04	 6.687E+03
    0.0125	 1.440E+03	 1.569E+03	 1.221E+03	-5.406E+02	-3.878E+02	-1.257E+03	 0.000E+00	-2.315E+03	-6.481E+04
    0.0250	 1.572E+03	 1.778E+03	 1.268E+03	-6.248E+02	-4.643E+02	-1.322E+03	 0.000E+00	-1.234E+05	-1.722E+05
    0.0375	 6.075E+02	 8.575E+02	 7.811E+01	 1.906E+02	 4.976E+02	-5.565E+02	 0.000E+00	-2.352E+05	 9.698E+04
    0.0500	-1.691E+03	-1.453E+03	-2.142E+03	 9.551E+02	 1.557E+03	 1.224E+02	 0.000E+00	-1.020E+05	 9.020E+05
    0.0625	 2.007E+03	 2.028E+03	 1.954E+03	 4.894E+02	 1.444E+03	-4.141E+02	 0.000E+00	 5.467E+05	 1.846E+06
    0.0750	 2.538E+03	 6.669E+03	 1.079E+03	-3.612E+03	-1.719E+03	-4.107E+03	 0.000E+00	 1.704E+06	 3.414E+06
    0.0875	-1.782E+03	-4.116E+03	-1.320E+03	 1.820E+03	 2.622E+03	 2.045E+02	 0.000E+00	 2.327E+06	 5.431E+06
    0.1000	 3.453E+03	 3.304E+03	 2.357E+03	-7.283E+02	 6.292E+02	-9.483E+02	 0.000E+00	 2.138E+06	 3.878E+06
    0.1125	 2.788E+03	 2.421E+03	 1.498E+03	-1.209E+03	-1.002E+01	-6.848E+02	 0.000E+00	 2.410E+06	 3.931E+06
