
Predictions were generated on 05-Dec-2019 at 21:48:20 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Oberhalb_50mps

Time      	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(Nm)      	(Nm)      
    0.0000	 1.216E+03	 1.563E+03	 8.665E+02	-5.852E+02	-1.496E+02	-1.205E+03	 0.000E+00	 3.066E+04	 1.642E+04
    0.0125	 1.577E+03	 1.829E+03	 1.246E+03	-6.907E+02	-3.111E+02	-1.342E+03	 0.000E+00	-1.033E+03	-8.562E+04
    0.0250	 1.655E+03	 2.004E+03	 1.377E+03	-7.438E+02	-4.373E+02	-1.355E+03	 0.000E+00	-1.422E+05	-2.162E+05
    0.0375	 6.464E+02	 1.084E+03	 1.924E+02	 1.182E+02	 5.446E+02	-5.392E+02	 0.000E+00	-2.736E+05	 1.060E+05
    0.0500	-1.477E+03	-1.085E+03	-1.782E+03	 9.276E+02	 1.568E+03	 1.387E+02	 0.000E+00	-1.212E+05	 1.146E+06
    0.0625	 2.626E+03	 2.985E+03	 2.340E+03	 4.338E+02	 1.620E+03	-5.055E+02	 0.000E+00	 6.162E+05	 2.348E+06
    0.0750	 4.581E+03	 5.207E+03	-1.645E+03	-1.700E+03	-4.903E+02	-3.910E+03	 0.000E+00	 1.901E+06	 4.443E+06
    0.0875	-6.477E+02	 9.772E+01	 2.849E+03	 1.378E+03	 1.930E+03	 1.164E+02	 0.000E+00	 2.739E+06	 6.563E+06
    0.1000	 4.542E+03	 3.497E+03	 2.630E+03	-1.190E+03	 3.379E+02	-2.361E+03	 0.000E+00	 2.904E+06	 5.724E+06
    0.1125	 2.924E+03	 2.477E+03	 1.030E+03	-8.985E+02	-3.162E+02	-2.492E+03	 0.000E+00	 3.072E+06	 5.613E+06
    0.1250	 1.010E+03	 8.542E+02	 3.161E+03	 3.029E+03	 4.121E+03	-1.537E+03	 0.000E+00	 3.688E+06	 9.355E+06
    0.1375	 6.057E+03	 4.918E+03	 3.106E+03	-1.715E+03	 7.395E+02	-3.561E+03	 0.000E+00	 4.039E+06	 1.417E+07
    0.1500	 3.641E+03	 3.054E+03	 7.945E+02	-7.509E+02	 1.746E+02	-3.449E+03	 0.000E+00	 2.900E+06	 1.932E+07
    0.1625	 1.364E+03	 9.134E+02	 3.424E+03	 2.867E+03	 4.650E+03	-1.624E+03	 0.000E+00	-3.994E+04	 2.318E+07
    0.1750	 6.134E+03	 4.695E+03	 3.213E+03	-2.090E+03	 1.069E+03	-3.843E+03	 0.000E+00	-3.978E+06	 2.361E+07
    0.1875	 3.635E+03	 2.506E+03	 5.683E+02	-1.754E+03	 4.926E+02	-3.986E+03	 0.000E+00	-8.018E+06	 2.512E+07
    0.2000	 1.056E+03	-5.406E+00	 2.786E+03	 2.486E+03	 4.621E+03	-2.439E+03	 0.000E+00	-1.200E+07	 2.921E+07
    0.2125	 5.479E+03	 3.849E+03	 2.486E+03	-2.123E+03	 1.021E+03	-4.050E+03	 0.000E+00	-1.630E+07	 3.166E+07
    0.2250	 3.104E+03	 1.471E+03	-1.776E+02	-2.184E+03	 1.674E+02	-4.175E+03	 0.000E+00	-2.079E+07	 3.207E+07
    0.2375	 3.690E+01	-1.305E+03	 1.537E+03	 1.762E+03	 3.922E+03	-3.457E+03	 0.000E+00	-2.450E+07	 3.029E+07
    0.2500	 4.562E+03	 2.285E+03	 1.363E+03	-2.551E+03	 9.422E+02	-3.937E+03	 0.000E+00	-2.646E+07	 2.601E+07
    0.2625	 2.294E+03	 2.685E-01	-1.060E+03	-2.896E+03	 2.937E+02	-4.160E+03	 0.000E+00	-2.661E+07	 2.379E+07
    0.2750	-8.189E+02	-1.086E+02	-2.735E+02	 1.719E+03	 1.449E+03	-3.579E+03	 0.000E+00	-2.567E+07	 2.349E+07
    0.2875	 3.213E+03	-7.815E+02	 6.136E+02	-1.791E+03	 9.148E+02	-4.040E+03	 0.000E+00	-2.415E+07	 2.291E+07
    0.3000	 1.422E+03	-1.771E+03	-1.680E+03	-2.504E+03	-6.472E+02	-5.209E+03	 0.000E+00	-2.185E+07	 1.976E+07
    0.3125	 3.407E+02	-1.824E+03	-7.251E+02	-1.016E+03	 2.047E+03	-3.893E+03	 0.000E+00	-1.835E+07	 1.578E+07
    0.3250	 1.098E+03	-1.519E+03	-5.200E+02	-2.227E+03	 1.008E+03	-3.470E+03	 0.000E+00	-1.389E+07	 1.266E+07
    0.3375	 2.124E+02	-2.190E+03	-2.410E+03	-4.482E+03	-5.283E+02	-5.096E+03	 0.000E+00	-9.299E+06	 1.172E+07
    0.3500	-2.407E+02	-2.359E+03	-1.441E+03	-1.650E+03	 1.337E+03	-4.304E+03	 0.000E+00	-5.094E+06	 1.275E+07
    0.3625	 7.456E+02	-1.872E+03	-1.001E+03	-2.406E+03	 6.794E+02	-3.807E+03	 0.000E+00	-9.063E+05	 1.406E+07
    0.3750	-2.099E+02	-2.086E+03	-3.049E+03	-4.820E+03	-6.167E+02	-5.317E+03	 0.000E+00	 3.928E+06	 1.334E+07
    0.3875	-1.145E+02	-2.232E+03	-1.547E+03	-1.829E+03	 9.325E+02	-4.336E+03	 0.000E+00	 9.544E+06	 1.122E+07
    0.4000	 9.133E+02	-1.661E+03	-9.136E+02	-2.897E+03	 4.639E+02	-3.871E+03	 0.000E+00	 1.547E+07	 1.004E+07
    0.4125	-4.155E+02	-1.646E+03	-3.024E+03	-5.107E+03	-8.952E+02	-5.382E+03	 0.000E+00	 2.122E+07	 9.781E+06
    0.4250	 1.697E+02	-1.494E+03	-1.213E+03	-1.597E+03	 7.556E+02	-4.000E+03	 0.000E+00	 2.681E+07	 9.465E+06
    0.4375	 1.361E+03	-7.166E+02	-6.732E+02	-2.645E+03	-1.612E+02	-4.048E+03	 0.000E+00	 3.248E+07	 8.145E+06
    0.4500	-2.110E+02	-9.365E+02	-2.807E+03	-4.957E+03	-1.565E+03	-5.219E+03	 0.000E+00	 3.796E+07	 5.069E+06
