
Predictions were generated on 05-Dec-2019 at 21:53:30 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Oberhalb_75mps

Time      	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(Nm)      	(Nm)      
    0.0000	 2.250E+03	 2.105E+03	 1.741E+03	-1.376E+03	-9.471E+01	-1.750E+03	 0.000E+00	 5.084E+04	 1.377E+05
    0.0125	 2.525E+03	 2.513E+03	 2.070E+03	-1.530E+03	-2.223E+02	-1.832E+03	 0.000E+00	-3.822E+03	-2.954E+05
    0.0250	 2.509E+03	 2.426E+03	 1.953E+03	-1.450E+03	-2.142E+02	-1.694E+03	 0.000E+00	-2.229E+05	-7.133E+05
    0.0375	 1.349E+03	 1.323E+03	 7.383E+02	-3.472E+02	 8.185E+02	-5.935E+02	 0.000E+00	-4.178E+05	 2.368E+05
    0.0500	 2.086E+02	 3.275E+02	-1.066E+02	 4.705E+02	 1.685E+03	 1.002E+01	 0.000E+00	-1.704E+05	 3.038E+06
    0.0625	 3.185E+03	 5.173E+03	 3.395E+03	-8.047E+01	 2.449E+03	-4.088E+02	 0.000E+00	 9.005E+05	 6.326E+06
    0.0750	 1.345E+03	 6.303E+03	 1.457E+03	-2.556E+03	-7.770E+02	-2.874E+03	 0.000E+00	 2.581E+06	 1.061E+07
    0.0875	 6.605E+03	 4.596E+03	 7.410E+03	 9.422E+02	 1.190E+03	-5.485E+02	 0.000E+00	 4.251E+06	 1.393E+07
    0.1000	 5.590E+03	 7.741E+03	 4.696E+03	-3.649E+03	-2.651E+03	-3.801E+03	 0.000E+00	 5.090E+06	 1.384E+07
    0.1125	 2.331E+03	 4.612E+03	 2.512E+02	-2.463E+03	-1.671E+03	-2.930E+03	 0.000E+00	 4.994E+06	 1.519E+07
    0.1250	 7.304E+03	 6.667E+03	 7.667E+03	 1.292E+03	 4.850E+03	-5.960E+02	 0.000E+00	 4.211E+06	 2.097E+07
