
Predictions were generated on 05-Dec-2019 at 22:17:49 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Oberhalb_100mps

Time      	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(Nm)      	(Nm)      
    0.0000	 3.969E+03	 3.971E+03	 3.924E+03	-2.458E+03	-9.725E+02	-2.946E+03	 0.000E+00	 8.055E+04	 2.071E+05
    0.0125	 4.239E+03	 4.213E+03	 4.128E+03	-2.447E+03	-9.109E+02	-2.859E+03	 0.000E+00	-5.598E+03	-4.987E+05
    0.0250	 4.432E+03	 4.412E+03	 4.275E+03	-2.325E+03	-6.197E+02	-2.604E+03	 0.000E+00	-3.537E+05	-1.212E+06
    0.0375	 4.851E+03	 4.810E+03	 4.586E+03	-2.111E+03	-3.169E+02	-2.442E+03	 0.000E+00	-6.065E+05	 5.255E+05
    0.0500	 5.488E+03	 5.542E+03	 5.168E+03	-1.886E+03	-8.637E+01	-2.455E+03	 0.000E+00	-1.852E+05	 5.327E+06
    0.0625	 6.409E+03	 6.573E+03	 6.066E+03	-1.781E+03	 2.210E+01	-2.623E+03	 0.000E+00	 1.222E+06	 1.143E+07
    0.0750	 7.475E+03	 7.780E+03	 7.191E+03	-1.833E+03	 8.580E+00	-2.812E+03	 0.000E+00	 3.385E+06	 1.687E+07
    0.0875	 8.793E+03	 9.091E+03	 8.394E+03	-2.032E+03	-1.249E+02	-3.059E+03	 0.000E+00	 5.740E+06	 2.169E+07
    0.1000	 1.022E+04	 1.056E+04	 9.602E+03	-2.282E+03	-3.506E+02	-3.448E+03	 0.000E+00	 7.768E+06	 2.752E+07
    0.1125	 1.159E+04	 1.221E+04	 1.076E+04	-2.494E+03	-6.501E+02	-4.024E+03	 0.000E+00	 9.104E+06	 3.553E+07
