
Predictions were generated on 05-Dec-2019 at 21:27:27 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Oberhalb_40mps

Time      	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(Nm)      	(Nm)      
    0.0000	 9.771E+02	 1.238E+03	 7.440E+02	-3.624E+02	-1.904E+02	-1.111E+03	 0.000E+00	 2.362E+04	-8.344E+03
    0.0125	 1.220E+03	 1.397E+03	 1.039E+03	-4.502E+02	-3.170E+02	-1.180E+03	 0.000E+00	-2.955E+03	-4.279E+04
    0.0250	 1.390E+03	 1.612E+03	 1.091E+03	-5.480E+02	-4.022E+02	-1.277E+03	 0.000E+00	-1.042E+05	-9.590E+04
    0.0375	 4.333E+02	 6.544E+02	-4.312E+01	 2.226E+02	 5.123E+02	-5.458E+02	 0.000E+00	-1.949E+05	 8.422E+04
    0.0500	-1.973E+03	-1.758E+03	-2.395E+03	 9.224E+02	 1.559E+03	 1.113E+02	 0.000E+00	-7.991E+04	 5.966E+05
    0.0625	 1.065E+03	 1.148E+03	 1.333E+03	 4.354E+02	 1.426E+03	-3.524E+02	 0.000E+00	 4.703E+05	 1.303E+06
    0.0750	 6.270E+03	 6.544E+02	 1.701E+03	-1.547E+03	-2.332E+03	-4.046E+03	 0.000E+00	 1.522E+06	 2.664E+06
    0.0875	-4.334E+03	-9.088E+02	-2.941E+03	 1.124E+03	 2.810E+03	 7.677E+02	 0.000E+00	 1.792E+06	 3.213E+06
    0.1000	 2.956E+03	 1.392E+03	 1.874E+03	 6.492E+02	 1.819E+03	-1.071E+03	 0.000E+00	 1.578E+06	 4.556E+06
    0.1125	 2.786E+03	 2.144E+03	 1.071E+03	-1.174E+02	 5.243E+02	-2.512E+03	 0.000E+00	 2.023E+06	 4.805E+06
    0.1250	-3.660E+03	-4.189E+02	-3.522E+02	 4.623E+03	 2.976E+03	-1.839E+03	 0.000E+00	 3.659E+06	 6.986E+06
    0.1375	 4.971E+03	 2.064E+03	 9.616E+02	 6.316E+02	 3.159E+03	-2.500E+03	 0.000E+00	 5.332E+06	 9.037E+06
    0.1500	 3.556E+03	 2.580E+03	 4.847E+02	 2.570E+02	 1.125E+03	-3.758E+03	 0.000E+00	 5.136E+06	 1.108E+07
    0.1625	-3.014E+03	-1.214E+01	-2.740E+02	 4.182E+03	 3.634E+03	-2.489E+03	 0.000E+00	 2.595E+06	 1.375E+07
    0.1750	 5.281E+03	 2.539E+03	 8.847E+02	-7.972E+01	 3.225E+03	-4.111E+03	 0.000E+00	-1.309E+06	 1.509E+07
    0.1875	 3.296E+03	 2.449E+03	-6.104E+02	-3.281E+02	 1.666E+03	-4.920E+03	 0.000E+00	-5.738E+06	 1.693E+07
    0.2000	-2.614E+03	 6.104E+02	-3.067E+02	 3.469E+03	 3.692E+03	-4.124E+03	 0.000E+00	-1.070E+07	 2.010E+07
    0.2125	 5.165E+03	 3.013E+03	 3.140E+02	-1.110E+03	 2.780E+03	-6.022E+03	 0.000E+00	-1.666E+07	 2.187E+07
    0.2250	 2.596E+03	 1.966E+03	-2.044E+03	-7.802E+02	 1.949E+03	-5.674E+03	 0.000E+00	-2.325E+07	 2.292E+07
    0.2375	-2.582E+03	 1.197E+03	-8.479E+02	 2.620E+03	 3.341E+03	-5.942E+03	 0.000E+00	-2.867E+07	 2.356E+07
    0.2500	 4.752E+03	 3.214E+03	-7.778E+02	-2.100E+03	 2.317E+03	-7.465E+03	 0.000E+00	-3.137E+07	 2.248E+07
    0.2625	 1.767E+03	 1.536E+03	-3.538E+03	-1.468E+03	 2.028E+03	-6.258E+03	 0.000E+00	-3.127E+07	 2.172E+07
    0.2750	-3.117E+03	 1.146E+03	-1.902E+03	 1.909E+03	 3.090E+03	-7.597E+03	 0.000E+00	-2.917E+07	 2.146E+07
    0.2875	 3.138E+03	 3.331E+03	-2.178E+03	-2.465E+03	 2.164E+03	-7.542E+03	 0.000E+00	-2.573E+07	 1.963E+07
