
Predictions were generated on 05-Dec-2019 at 21:18:57 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Oberhalb_35mps

Time      	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(Nm)      	(Nm)      
    0.0000	 8.111E+02	 1.098E+03	 5.919E+02	-2.837E+02	-8.340E+01	-1.090E+03	 0.000E+00	 2.032E+04	-2.437E+04
    0.0125	 8.294E+02	 1.037E+03	 5.614E+02	-2.188E+02	-1.635E+01	-1.038E+03	 0.000E+00	-4.176E+03	-2.036E+04
    0.0250	 8.287E+02	 1.095E+03	 5.810E+02	-1.689E+02	 1.014E+02	-9.819E+02	 0.000E+00	-9.118E+04	-1.481E+04
    0.0375	 8.800E+02	 1.181E+03	 6.729E+02	-1.199E+02	 2.504E+02	-9.351E+02	 0.000E+00	-1.366E+05	 8.168E+04
    0.0500	 1.024E+03	 1.305E+03	 8.166E+02	-7.469E+01	 4.137E+02	-9.219E+02	 0.000E+00	-3.088E+03	 3.246E+05
    0.0625	 1.199E+03	 1.434E+03	 9.482E+02	-1.976E+01	 6.172E+02	-9.150E+02	 0.000E+00	 3.566E+05	 7.197E+05
    0.0750	 1.372E+03	 1.506E+03	 1.053E+03	 5.681E+01	 8.679E+02	-8.976E+02	 0.000E+00	 8.685E+05	 1.294E+06
    0.0875	 1.534E+03	 1.531E+03	 1.123E+03	 1.493E+02	 1.161E+03	-8.772E+02	 0.000E+00	 1.416E+06	 2.101E+06
    0.1000	 1.667E+03	 1.547E+03	 1.185E+03	 2.349E+02	 1.483E+03	-8.663E+02	 0.000E+00	 1.915E+06	 3.184E+06
    0.1125	 1.801E+03	 1.554E+03	 1.269E+03	 3.050E+02	 1.804E+03	-8.783E+02	 0.000E+00	 2.297E+06	 4.547E+06
    0.1250	 1.979E+03	 1.525E+03	 1.380E+03	 3.634E+02	 2.103E+03	-9.215E+02	 0.000E+00	 2.433E+06	 6.093E+06
    0.1375	 2.159E+03	 1.451E+03	 1.494E+03	 4.157E+02	 2.392E+03	-9.743E+02	 0.000E+00	 2.136E+06	 7.644E+06
